,Composition_Formula,Equilibrium_Pressure_25C,Heat_of_Formation_kJperMolH2,bin,3bin_limit,2bin_real,element,pred_elements,ln_pressure,regression_pred,regression_bin_pred,regression_bin_pred_median,binary_heat
134,Zr0.1Ti0.9Mn1V0.1Cr0.9,20.663046935398054,-22.5,1,1,1,"['Zr', 'Ti', 'Mn', 'V', 'Cr']",1,3.0283469327495385,-24.019123529247494,1,1,1
135,Ti1.2Mn0.1Cr1.9,57.03937805113844,-20.1,1,1,1,"['Ti', 'Mn', 'Cr']",1,4.0437418723148,-21.270557506812526,1,1,1
136,Ti1.2Mn1Cr1,22.39130848118285,-25.5,1,1,1,"['Ti', 'Mn', 'Cr']",1,3.108672869331085,-23.801689768840106,1,1,1
137,Ti1Cr1.8,130.8676826935899,-19.7,0,0,2,"['Ti', 'Cr']",1,4.874186756976944,-19.022631596856193,0,1,1
138,TiCr2,56.45335214351638,-29.7,1,1,1,"['Ti', 'Cr']",1,4.033414671357247,-21.298512140573987,1,1,1
139,TiMnCr,43.66298285551212,-24.0,1,1,1,"['Ti', 'Mn', 'Cr']",1,3.776500668886852,-21.99395099925122,1,1,1
140,Ti1Mn0.85V0.15Cr1Fe0.3,6.927951884951252,-20.9,1,1,1,"['Ti', 'Mn', 'V', 'Cr', 'Fe']",1,1.9355642262232073,-26.97716999966695,1,1,1
141,Ti1Mn1.3Fe0.11,6.27236149268651,-32.7,1,1,1,"['Ti', 'Mn', 'Fe']",1,1.8361529173385123,-27.24626583144571,1,1,1
142,Ti1Mn1.4Ni0.1,5.623556221337437,-28.0,1,1,1,"['Ti', 'Mn', 'Ni']",1,1.726964243382416,-27.541827949766834,1,1,1
143,Ti1Mn1.5,5.042548070797965,-27.9,1,1,1,"['Ti', 'Mn']",1,1.6179115239287947,-27.837022053720798,1,1,1
144,TiMn2,49.60116926377468,-24.6,1,1,1,"['Ti', 'Mn']",1,3.9040144073194476,-21.648784881918047,1,1,1
145,Zr0.79Ti0.21Mn1Fe1.02,1.2042957926000797,-33.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Fe']",1,0.18589499163049833,-31.71333838234602,1,1,1
146,Zr0.7Ti0.3Cr0.6Fe1.4,7.432380183843748,-22.0,1,1,1,"['Zr', 'Ti', 'Cr', 'Fe']",1,2.0058461551875237,-26.786924298791963,1,1,1
147,Zr0.7Ti0.3Cr1Fe1,0.8681310175268138,-30.0,1,1,1,"['Zr', 'Ti', 'Cr', 'Fe']",1,-0.14141263386119396,-32.599325285821735,1,1,1
148,Zr0.7Ti0.3Mn2Fe0.8,2.600000000000001,-14.0,0,0,2,"['Zr', 'Ti', 'Mn', 'Fe']",1,0.9555114450274368,-29.630068561226558,1,1,1
149,Zr0.7Ti0.3Mn1Fe1,2.0552362805549915,-10.0,0,0,2,"['Zr', 'Ti', 'Mn', 'Fe']",1,0.7203908197109502,-30.266515067642324,1,1,1
150,Zr0.8Ti0.2Cr0.6Fe1.4,3.228992323383511,-27.0,1,1,1,"['Zr', 'Ti', 'Cr', 'Fe']",1,1.172170114375824,-29.043596604519827,1,1,1
151,Zr0.8Ti0.2Mn1Fe1,1.3104812451316956,-30.0,1,1,1,"['Zr', 'Ti', 'Mn', 'Fe']",1,0.27039443244785716,-31.48460739020144,1,1,1
152,Zr0.9Ti0.1Cr0.55Fe1.45,2.044512027736068,-1.03,0,0,2,"['Zr', 'Ti', 'Cr', 'Fe']",1,0.7151591437771645,-30.28067665753379,1,1,1
153,Zr1V0.5Co1.5,0.5142680604510185,-34.3,1,1,1,"['Zr', 'V', 'Co']",1,-0.665010631083228,-34.01664933236036,1,1,1
154,ZrCrCo,0.1996309246572472,-40.2,2,2,2,"['Zr', 'Cr', 'Co']",1,-1.6112849939531337,-36.578113310897706,1,0,0
155,ZrVCo,0.0004922219161274,-49.4,2,2,2,"['Zr', 'V', 'Co']",1,-7.616580894124575,-52.83381010700959,2,0,0
156,Zr1Cr1.2Fe0.8,0.0526872109449353,-50.2,2,2,2,"['Zr', 'Cr', 'Fe']",1,-2.9433825294522356,-40.18395955059808,2,0,0
157,Zr1Cr1.2Ni0.8,0.0126513709361717,-56.4,2,2,2,"['Zr', 'Cr', 'Ni']",1,-4.369989695279764,-44.045633299961665,2,0,0
158,ZrCr2,0.002679724218239,-42.0,2,2,2,"['Zr', 'Cr']",1,-5.922041393396479,-48.24687204587519,2,0,0
159,Zr1Cr2Co0.8,0.0507994716030839,-45.3,2,2,2,"['Zr', 'Cr', 'Co']",1,-2.9798693259658933,-40.28272542509404,2,0,0
160,ZrMo2,43.29076189491877,-22.0,1,1,1,"['Zr', 'Mo']",1,3.767939261089238,-22.017125818880324,1,1,1
161,ZrCrMo,0.1999999999999999,-27.6,1,1,1,"['Zr', 'Cr', 'Mo']",1,-1.609437912434101,-36.57311345782964,1,0,1
