,SMILES,E_coh (MPa),T_g (K),R_gyr (A^2),Densities (kg/m^3),E_coh_bin,T_g_bin,R_gyr_bin,Densities_bin,smiles_lenght
124,C=CC(=O)OCCOCCOCCOCCO,568.5091257385905,272.8298074048635,1.7445493723348544e-19,1127.2260299853422,1,0,1,0,21
125,C=C(C)C(=O)N1CC(NC(C)=O)(C2(OCc3cccc(C)c3)CC2)C1,524.6446609647261,377.9022449528367,1.486013272866373e-19,1110.6393724236343,0,1,1,0,48
126,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,566.4599006554508,312.376732948016,1.1030132322521245e-19,1315.4914019904074,1,0,1,1,28
127,C=CC(=O)NCC(OCC)OCC,489.13181073708,278.995482362618,8.002105150478893e-20,1028.9799770725729,0,0,0,0,19
128,C=CC(=O)N1CCC(c2ccc(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)n2)CC1,551.6712841544227,407.0918571335519,2.6990509035138227e-19,1181.3404826807453,1,1,1,1,56
129,C=CC(=O)N1CCN(S(=O)(=O)c2csc(-c3ccccc3C)n2)CC1,595.1797805162485,394.8202979337435,1.5465584593619282e-19,1234.6936669108018,1,1,1,1,46
130,C=CC(=O)N1CCN(C(=O)c2ccc(OC)c(OC)c2)CC1,593.9397399332832,365.1969416644045,1.5763859165840772e-19,1180.7411697006576,1,1,1,1,39
131,C=CCN(Cc1ccc(Cl)s1)C(=O)C=C,518.3532408938454,293.4455500773328,1.0886118084306025e-19,1217.8931623312042,0,0,1,1,27
132,C=CC(=O)N1CCCC(OCC(F)(F)F)C1,549.9394856170937,302.8809275482712,1.109230674074814e-19,1241.2914818387849,0,0,1,1,28
133,C=CC(=O)N[C@H]1CCCNC1,609.4452818493786,319.3177672528913,5.73121302039868e-20,1084.541252128526,1,0,0,0,21
134,C=CC(=O)NCc1oc(C)nc1C,660.0288258951914,311.6137022683071,8.36017847279351e-20,1014.2510291254396,1,0,0,0,21
135,C=CC(=O)NC1C=CS(=O)(=O)C1,794.0385225991969,348.7588413301159,7.697728129124723e-20,1332.579855350742,1,1,0,1,25
136,C=CC(=O)N1CCC(N2CCCC2)CC1,532.486800342423,320.06919728840626,1.0316274392127254e-19,1053.3732498905226,0,1,1,0,25
137,C=CC(=O)Nc1ccc(CCC(=O)O)cc1,742.523337205789,339.5480789297667,1.3897387173769102e-19,1187.931062707594,1,1,1,1,27
138,C=C(C)C(=O)OCC(O)CSc1c(F)cccc1F,149.72376993331346,361.8529319005878,2.1066651619770083e-18,1313.7459418971391,0,1,1,1,31
139,C=CC(=O)N(C)CC(C)C(=O)O,639.2630571061889,310.4390317800027,6.900807784480502e-20,1110.5254091722209,1,0,0,0,23
140,C=CC(=O)OCCCS(=O)(=O)O,794.7680306057676,293.9245468322833,9.371038769047499e-20,1325.1293802467485,1,0,0,1,22
141,C=CC(=O)Nc1ccc2sc3c(Cl)ncnc3c2c1,662.0970626075714,378.4343856076283,1.4067379291405607e-19,1389.2780656905466,1,1,1,1,32
142,C=CC(=O)Nc1c(C)cccc1C,591.690773871853,317.15654700731204,6.766331842777019e-20,1062.773487228381,1,0,0,0,21
143,C=C(C)C(=O)OC1CCC(C(C)(C)C)CC1,333.1848614183243,260.04171367249273,9.856661536069412e-20,949.3220216287436,0,0,1,0,30
144,C=C(C)C(=O)NC1C(OC(C)=O)OC(COC(C)=O)C(OC(C)=O)C1OC(C)=O,525.9670057992959,385.9606392088208,1.343763571506382e-19,1207.180305171475,0,1,1,1,55
145,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,414.1943180664472,329.5245917605947,2.6573697745053833e-19,1135.7688685668925,0,1,1,1,75
146,C=C(C)C(=O)N1CCN(c2nc3ccc(Cl)cc3s2)CC1,569.9060804543738,378.7431422221708,1.8507579502424228e-19,1275.7139933871504,1,1,1,1,38
147,CCC(CC)CO,278.8468676527624,203.8267233902502,4.075418922397295e-20,754.0739688995102,0,0,0,0,9
148,C=CC(=O)Nc1ccc(CC(=O)N(C)C)cc1,685.4189706592964,365.3537666549133,1.447912759849238e-19,1136.443434767276,1,1,1,1,30
