,SMILES,Free energy of activation (kcal/mol),E_bin
350,c1occc1c2nnc(c1occc1)nn2,15.549045511050506,1
351,n1cccnc1c2nnc(CC)nn2,13.939484926047903,0
352,c1cc(NC(=O)C)ccc1c2nnc(c1ccccc1)nn2,15.149322278060955,1
353,CC(=C)c2nnc(C#C)nn2,14.257631988993724,0
354,CC(=O)Nc2nnc(/C=C/c1ccccc1)nn2,15.592971141010944,1
355,c1occc1c2nnc(C(C)=C)nn2,15.565360745009317,1
356,c1ccccc1/C=C/c2nnc(c1cc(O)ccc1)nn2,16.181574583022993,1
357,COC(=O)c2nnc(C#Cc1ccccc1)nn2,11.187230452005409,0
358,c1cc([O-])ccc1c2nnc(Cl)nn2,17.765407299019213,1
359,FCc2nnc(C(C)(C)C)nn2,17.990055521022747,1
360,c1cc(C(=O)[O-])ccc1c2nncnn2,14.255121953035731,0
361,c1cc(C(=O)O)ccc1c2nnc(c1cc(O)ccc1)nn2,13.920659656024094,0
362,CC(=C)c2nnc(C(OC)=C)nn2,13.555449418018748,0
363,o1cccc1c2nnc(CF)nn2,13.694128907025313,0
364,c1cc(C(=O)O)ccc1c2nnc(C(C)=C)nn2,14.53310844004728,1
365,FC(F)(F)c2nnc(N(C)C)nn2,19.10262897806735,1
366,C#Cc2nnc(C#C)nn2,13.035244457012356,0
